code,name,y1,y2,bwar
aardsda01,David Aardsma,2004,2015,1.8
aaronha01,Henry Aaron,1954,1976,143.0
aaronto01,Tommie Aaron,1962,1971,-2.8
aasedo01,Don Aase,1977,1990,15.0
abadan01,Andy Abad,2001,2006,-0.4
abadfe01,Fernando Abad,2010,2023,3.0
abbotan01,Andrew Abbott,2023,2023,1.8
abbotco01,Cory Abbott,2021,2023,-0.3
abbotgl01,Glenn Abbott,1973,1984,5.3
abbotje01,Jeff Abbott,1997,2001,-1.4
abbotji01,Jim Abbott,1989,1999,19.6
abbotku01,Kurt Abbott,1993,2001,0.5
abbotky01,Kyle Abbott,1991,1996,-1.4
abbotpa01,Paul Abbott,1990,2004,4.6
aberal01,Al Aber,1950,1957,0.6
abercre01,Reggie Abercrombie,2006,2008,-0.2
abernbi01,Bill Abernathie,1952,1952,-0.1
abernbr01,Brent Abernathy,2001,2005,0.0
abernja01,James Abernathy,1945,1948,0.1
abernte02,Ted Abernathy,1955,1972,15.9
abernwo01,Woody Abernathy,1946,1947,0.3
aberscl01,Cliff Aberson,1947,1949,0.1
abnersh01,Shawn Abner,1987,1992,-1.3
abramca01,Cal Abrams,1949,1956,8.5
abramcj01,CJ Abrams,2022,2023,1.0
abregjo01,Johnny Abrego,1985,1985,-0.6
abreual01,Albert Abreu,2020,2023,0.5
abreubo01,Bobby Abreu,1996,2014,60.2
abreubr01,Bryan Abreu,2019,2023,1.5
abreujo02,José Abreu,2014,2023,31.0
abreuju01,Juan Abreu,2011,2011,0.1
abreuto01,Tony Abreu,2007,2014,-0.5
abreuwi01,Winston Abreu,2006,2009,-0.8
accarje01,Jeremy Accardo,2005,2012,1.9
acevedo01,Domingo Acevedo,2021,2023,0.6
acevejo01,Jose Acevedo,2001,2005,-2.5
aceveju01,Juan Acevedo,1995,2003,2.7
aceveal01,Alfredo Aceves,2008,2014,4.2
achteaj01,A.J. Achter,2014,2016,0.3
ackerji01,Jim Acker,1983,1992,5.6
ackerto01,Tom Acker,1956,1959,4.5
ackledu01,Dustin Ackley,2011,2016,7.7
acklefr01,Fritz Ackley,1963,1964,0.1
acostcy01,Cy Acosta,1972,1975,5.6
acosted01,Ed Acosta,1970,1972,0.0
acostma01,Manny Acosta,2007,2012,0.9
acrema01,Mark Acre,1994,1997,0.5
actonga01,Garrett Acton,2023,2023,-0.4
acunaro01,Ronald Acuna Jr.,2018,2023,22.5
adairje01,Jerry Adair,1958,1970,8.4
adamja01,Jason Adam,2018,2023,3.1
adamecr01,Cristhian Adames,2014,2019,-1.2
adamewi01,Willy Adames,2018,2023,16.6
adamsau01,Austin Adams,2014,2019,-0.6
adamsau02,Austin Adams,2017,2023,1.0
adamsbo04,Bob Adams,1977,1977,0.0
adamsbo03,Bobby Adams,1946,1959,15.7
